"measure","location","sex","age","cause","metric","year","val","upper","lower"
"Deaths","South Asia","Male","5-9 years","Enteric infections","Percent",1991,0.236962795721811,0.354198392478484,0.148230529364255
"Deaths","South Asia","Female","5-9 years","Enteric infections","Percent",1991,0.262641824115199,0.387420044602747,0.157802909387783
"Deaths","South Asia","Both","5-9 years","Enteric infections","Percent",1991,0.250496725372466,0.35379333747194,0.165913904376154
"Deaths","South Asia","Male","10-14 years","Enteric infections","Percent",1991,0.259094607272199,0.37899434300666,0.159291642263382
"Deaths","South Asia","Female","10-14 years","Enteric infections","Percent",1991,0.286185034248105,0.409151284086624,0.181631848578399
"Deaths","South Asia","Both","10-14 years","Enteric infections","Percent",1991,0.272464572481235,0.388987837856887,0.180188093960419
"Deaths","South Asia","Male","15-19 years","Enteric infections","Percent",1991,0.172295577235227,0.273173370484144,0.0982145307438314
"Deaths","South Asia","Female","15-19 years","Enteric infections","Percent",1991,0.153656836121438,0.243538399834437,0.0829766662194673
"Deaths","South Asia","Both","15-19 years","Enteric infections","Percent",1991,0.162507909670537,0.2409689797233,0.0990701420657858
"Deaths","South Asia","Male","20-24 years","Enteric infections","Percent",1991,0.111573159236695,0.19145555141539,0.0676948205140389
"Deaths","South Asia","Female","20-24 years","Enteric infections","Percent",1991,0.0987144001939066,0.174966520043526,0.0494592999724823
"Deaths","South Asia","Both","20-24 years","Enteric infections","Percent",1991,0.104693822153539,0.166097719630079,0.0638715953447701
"Deaths","Southern Sub-Saharan Africa","Male","<5 years","Enteric infections","Percent",1991,0.15335688365886,0.199791701446339,0.123382409844944
"Deaths","Southern Sub-Saharan Africa","Female","<5 years","Enteric infections","Percent",1991,0.159372318523106,0.199811338747123,0.127901950361027
"Deaths","Southern Sub-Saharan Africa","Both","<5 years","Enteric infections","Percent",1991,0.155975270197913,0.197666939162264,0.129425373200333
"Deaths","Southern Sub-Saharan Africa","Male","5-9 years","Enteric infections","Percent",1991,0.111410466023864,0.167751594251937,0.0600038963862659
"Deaths","Southern Sub-Saharan Africa","Female","5-9 years","Enteric infections","Percent",1991,0.115167285822708,0.220604630664184,0.0512350073928997
"Deaths","Southern Sub-Saharan Africa","Both","5-9 years","Enteric infections","Percent",1991,0.113038401658261,0.174529285154183,0.0738474741993721
"Deaths","Southern Sub-Saharan Africa","Male","10-14 years","Enteric infections","Percent",1991,0.0920570388393538,0.146019164914888,0.0487956620748027
"Deaths","Southern Sub-Saharan Africa","Female","10-14 years","Enteric infections","Percent",1991,0.0922796613619721,0.174755495464488,0.0426748137573086
"Deaths","Southern Sub-Saharan Africa","Both","10-14 years","Enteric infections","Percent",1991,0.0921537570870993,0.136651948495085,0.0580142947553223
"Deaths","Southern Sub-Saharan Africa","Male","15-19 years","Enteric infections","Percent",1991,0.040687509661178,0.0681529812776284,0.0193198503530367
"Deaths","Southern Sub-Saharan Africa","Female","15-19 years","Enteric infections","Percent",1991,0.0475672180540419,0.101755914901021,0.0193521834446606
"Deaths","Southern Sub-Saharan Africa","Both","15-19 years","Enteric infections","Percent",1991,0.0438568337850137,0.0735058930730425,0.0259614527574103
"Deaths","Southern Sub-Saharan Africa","Male","20-24 years","Enteric infections","Percent",1991,0.0355228058283734,0.0643300480939542,0.0173696951233843
"Deaths","Southern Sub-Saharan Africa","Female","20-24 years","Enteric infections","Percent",1991,0.0442097947129697,0.0956535812285566,0.0161088356406215
"Deaths","Southern Sub-Saharan Africa","Both","20-24 years","Enteric infections","Percent",1991,0.0395010483617548,0.0660916864659431,0.0233007413395931
"Deaths","East Asia","Male","<5 years","Enteric infections","Percent",1990,0.0546681740236916,0.0639239921410421,0.0458042052282733
"Deaths","East Asia","Female","<5 years","Enteric infections","Percent",1990,0.058857299703186,0.0688431070210386,0.0489737347911895
"Deaths","East Asia","Both","<5 years","Enteric infections","Percent",1990,0.0566011146247217,0.0653940521642685,0.0481871876132078
"Deaths","East Asia","Male","5-9 years","Enteric infections","Percent",1990,0.0206272990750426,0.0295617151949713,0.00856044300681673
"Deaths","East Asia","Female","5-9 years","Enteric infections","Percent",1990,0.0222728106368131,0.0429887171754031,0.0103503238892223
"Deaths","East Asia","Both","5-9 years","Enteric infections","Percent",1990,0.0212186713581002,0.0307787197243265,0.0115680755925269
"Deaths","East Asia","Male","10-14 years","Enteric infections","Percent",1990,0.0183915319283606,0.0276882882494645,0.0101972945114077
"Deaths","East Asia","Female","10-14 years","Enteric infections","Percent",1990,0.0222166273216512,0.0391221922951628,0.0122012838194335
"Deaths","East Asia","Both","10-14 years","Enteric infections","Percent",1990,0.019804741688897,0.0300970364142691,0.0125729484745439
"Deaths","East Asia","Male","15-19 years","Enteric infections","Percent",1990,0.00995967551899131,0.0160481220864677,0.00527309986638488
"Deaths","East Asia","Female","15-19 years","Enteric infections","Percent",1990,0.0118754386649151,0.0201468762669437,0.00617237485598485
"Deaths","East Asia","Both","15-19 years","Enteric infections","Percent",1990,0.0106302493307056,0.0164709871926427,0.00623392326533926
"Deaths","East Asia","Male","20-24 years","Enteric infections","Percent",1990,0.00628551278153427,0.00971968860341369,0.00341553672302575
"Deaths","East Asia","Female","20-24 years","Enteric infections","Percent",1990,0.00654916735399853,0.0117786534040579,0.00335394821411875
"Deaths","East Asia","Both","20-24 years","Enteric infections","Percent",1990,0.00638333388285074,0.00975353763462861,0.00384473407571575
"Deaths","South Asia","Male","<5 years","Enteric infections","Percent",1992,0.121352371140289,0.146727264948201,0.0994735838512959
"Deaths","South Asia","Female","<5 years","Enteric infections","Percent",1992,0.15418098004644,0.198123445879383,0.113493065668952
"Deaths","South Asia","Both","<5 years","Enteric infections","Percent",1992,0.137570417337809,0.162870939063452,0.10956477794491
"Deaths","South Asia","Male","5-9 years","Enteric infections","Percent",1992,0.251594102700195,0.375667565907216,0.16137782591299
"Deaths","South Asia","Female","5-9 years","Enteric infections","Percent",1992,0.277411614037103,0.411021001721037,0.163814578596596
"Deaths","South Asia","Both","5-9 years","Enteric infections","Percent",1992,0.265305350795978,0.37509264913489,0.17740651768574
"Deaths","South Asia","Male","10-14 years","Enteric infections","Percent",1992,0.287274546863565,0.42516357861732,0.176191981816083
"Deaths","South Asia","Female","10-14 years","Enteric infections","Percent",1992,0.305922783708462,0.444581637740846,0.194908975954423
"Deaths","South Asia","Both","10-14 years","Enteric infections","Percent",1992,0.296703727118318,0.419056468403723,0.197566945494471
"Deaths","South Asia","Male","15-19 years","Enteric infections","Percent",1992,0.187893842895499,0.300736765487162,0.106843286070102
"Deaths","South Asia","Female","15-19 years","Enteric infections","Percent",1992,0.159592336092796,0.255185825270946,0.0858973647239576
"Deaths","South Asia","Both","15-19 years","Enteric infections","Percent",1992,0.172567775122189,0.255469513641964,0.103900260283506
"Deaths","South Asia","Male","20-24 years","Enteric infections","Percent",1992,0.119383976113639,0.206455823313013,0.0710262183775387
"Deaths","South Asia","Female","20-24 years","Enteric infections","Percent",1992,0.100728210011296,0.181020341510346,0.049361675119904
"Deaths","South Asia","Both","20-24 years","Enteric infections","Percent",1992,0.109096886799616,0.173155864971425,0.0654767247698161
"Deaths","Eastern Sub-Saharan Africa","Male","<5 years","Enteric infections","Percent",1992,0.153724484593216,0.187310113939472,0.121336999712455
"Deaths","Eastern Sub-Saharan Africa","Female","<5 years","Enteric infections","Percent",1992,0.152224807905466,0.196146146919341,0.11602017339074
"Deaths","Eastern Sub-Saharan Africa","Both","<5 years","Enteric infections","Percent",1992,0.153029841373786,0.18531473398727,0.121026989569775
"Deaths","Eastern Sub-Saharan Africa","Male","5-9 years","Enteric infections","Percent",1992,0.151716211064354,0.298523060237281,0.0857084319908738
"Deaths","Eastern Sub-Saharan Africa","Female","5-9 years","Enteric infections","Percent",1992,0.205384369255283,0.359896868796108,0.0858696105308463
"Deaths","Eastern Sub-Saharan Africa","Both","5-9 years","Enteric infections","Percent",1992,0.175235468030558,0.265168030916102,0.100105177108045
"Deaths","Eastern Sub-Saharan Africa","Male","10-14 years","Enteric infections","Percent",1992,0.14571959295366,0.27836011566245,0.0867031953492701
"Deaths","Eastern Sub-Saharan Africa","Female","10-14 years","Enteric infections","Percent",1992,0.197525402641159,0.339613313075736,0.0944168589671043
"Deaths","Eastern Sub-Saharan Africa","Both","10-14 years","Enteric infections","Percent",1992,0.167294493894741,0.249170678534396,0.101407995877877
"Deaths","Eastern Sub-Saharan Africa","Male","15-19 years","Enteric infections","Percent",1992,0.12071611806719,0.242413450685,0.0691722520574477
"Deaths","Eastern Sub-Saharan Africa","Female","15-19 years","Enteric infections","Percent",1992,0.128287105884469,0.244979318076508,0.0527162237638899
"Deaths","Eastern Sub-Saharan Africa","Both","15-19 years","Enteric infections","Percent",1992,0.12413035885677,0.19306225213818,0.0715940276983141
"Deaths","Eastern Sub-Saharan Africa","Male","20-24 years","Enteric infections","Percent",1992,0.0803202026426172,0.168335560709303,0.0449060116993247
"Deaths","Eastern Sub-Saharan Africa","Female","20-24 years","Enteric infections","Percent",1992,0.0697647409598035,0.144586360305193,0.0244468764363067
"Deaths","Eastern Sub-Saharan Africa","Both","20-24 years","Enteric infections","Percent",1992,0.0742594926441327,0.121873900425115,0.040253857923515
"Deaths","Southern Sub-Saharan Africa","Male","<5 years","Enteric infections","Percent",1992,0.152625974163771,0.194517408070911,0.124411060868888
"Deaths","Southern Sub-Saharan Africa","Female","<5 years","Enteric infections","Percent",1992,0.15851356731536,0.194548419518955,0.127495976775714
"Deaths","Southern Sub-Saharan Africa","Both","<5 years","Enteric infections","Percent",1992,0.155190387498503,0.192239750292307,0.130255095930244
"Deaths","Southern Sub-Saharan Africa","Male","5-9 years","Enteric infections","Percent",1992,0.112026975108831,0.170434426590645,0.0605662667016095
"Deaths","Southern Sub-Saharan Africa","Female","5-9 years","Enteric infections","Percent",1992,0.116557048964305,0.223997609648335,0.052819198046949
"Deaths","Southern Sub-Saharan Africa","Both","5-9 years","Enteric infections","Percent",1992,0.11398079360669,0.174903355518087,0.0745869856347111
"Deaths","Southern Sub-Saharan Africa","Male","10-14 years","Enteric infections","Percent",1992,0.0920624691553436,0.146667970652576,0.0496537525840622
"Deaths","Southern Sub-Saharan Africa","Female","10-14 years","Enteric infections","Percent",1992,0.0924458161896965,0.179299198460604,0.043663899974242
"Deaths","Southern Sub-Saharan Africa","Both","10-14 years","Enteric infections","Percent",1992,0.0922253616305455,0.137970141922652,0.0587639092555893
"Deaths","Southern Sub-Saharan Africa","Male","15-19 years","Enteric infections","Percent",1992,0.0396557390808191,0.0660969357670789,0.0188937648638044
"Deaths","Southern Sub-Saharan Africa","Female","15-19 years","Enteric infections","Percent",1992,0.0426054058161905,0.0912147774900976,0.0172914113182318
"Deaths","Southern Sub-Saharan Africa","Both","15-19 years","Enteric infections","Percent",1992,0.041021748903546,0.0676569823000898,0.0243267354448381
"Deaths","Southern Sub-Saharan Africa","Male","20-24 years","Enteric infections","Percent",1992,0.0337758500038271,0.060754731965573,0.0161823823903159
"Deaths","Southern Sub-Saharan Africa","Female","20-24 years","Enteric infections","Percent",1992,0.0382612706407225,0.0831885342354813,0.0133397928536852
"Deaths","Southern Sub-Saharan Africa","Both","20-24 years","Enteric infections","Percent",1992,0.0359088593449151,0.0617401610915473,0.0211477964367837
"Deaths","Central Asia","Male","<5 years","Enteric infections","Percent",1992,0.117761271353184,0.129365247526851,0.10663407896486
"Deaths","Central Asia","Female","<5 years","Enteric infections","Percent",1992,0.123229540654443,0.137030927857518,0.111199189130605
"Deaths","Central Asia","Both","<5 years","Enteric infections","Percent",1992,0.12015951774969,0.130346894947558,0.111102450707353
"Deaths","Central Asia","Male","5-9 years","Enteric infections","Percent",1992,0.0187657585347223,0.0232846056129255,0.013485466149705
"Deaths","Central Asia","Female","5-9 years","Enteric infections","Percent",1992,0.0230722366131138,0.0322804658958957,0.0173113129463781
"Deaths","Central Asia","Both","5-9 years","Enteric infections","Percent",1992,0.0205223529930752,0.0251916743552887,0.0165188442173221
"Deaths","Central Asia","Male","10-14 years","Enteric infections","Percent",1992,0.0111326889572886,0.0135158696241945,0.00866430065202276
"Deaths","Central Asia","Female","10-14 years","Enteric infections","Percent",1992,0.0155547788299902,0.0216087216842318,0.0117960577729169
"Deaths","Central Asia","Both","10-14 years","Enteric infections","Percent",1992,0.0128419017054386,0.0155968930283942,0.0106181310537983
"Deaths","Central Asia","Male","15-19 years","Enteric infections","Percent",1992,0.00284107528009632,0.00348258209547573,0.00225669263811105
"Deaths","Central Asia","Female","15-19 years","Enteric infections","Percent",1992,0.00504719628970762,0.00728837764253939,0.00377021859125
"Deaths","Central Asia","Both","15-19 years","Enteric infections","Percent",1992,0.00355008155676351,0.00445635741577308,0.00293354930231045
"Deaths","Central Asia","Male","20-24 years","Enteric infections","Percent",1992,0.00207739205412488,0.00253896239150648,0.00163871621200618
"Deaths","Central Asia","Female","20-24 years","Enteric infections","Percent",1992,0.00530399695995162,0.00751148154605012,0.00394593792963112
"Deaths","Central Asia","Both","20-24 years","Enteric infections","Percent",1992,0.00303972406678234,0.00380661524678648,0.00245919429623748
"Deaths","East Asia","Male","<5 years","Enteric infections","Percent",1991,0.0523765841716167,0.0599920449997329,0.0443251790819447
"Deaths","East Asia","Female","<5 years","Enteric infections","Percent",1991,0.056775251901466,0.0655351094166386,0.0482812907548526
"Deaths","East Asia","Both","<5 years","Enteric infections","Percent",1991,0.0544025050744163,0.0618033192460718,0.0471151250802342
"Deaths","East Asia","Male","5-9 years","Enteric infections","Percent",1991,0.0198635751689794,0.0283533562881293,0.00818835555720472
"Deaths","East Asia","Female","5-9 years","Enteric infections","Percent",1991,0.0213826821512935,0.0410789928547691,0.0102029223782434
"Deaths","East Asia","Both","5-9 years","Enteric infections","Percent",1991,0.0204046851459768,0.0298831970194896,0.0111950598192917
"Deaths","East Asia","Male","10-14 years","Enteric infections","Percent",1991,0.0176085213595287,0.0263441851932803,0.00972456997971049
"Deaths","East Asia","Female","10-14 years","Enteric infections","Percent",1991,0.0211149937266088,0.037537458643987,0.0117945587115189
"Deaths","East Asia","Both","10-14 years","Enteric infections","Percent",1991,0.0188910416519465,0.0284205235090189,0.0120228349983513
"Deaths","East Asia","Male","15-19 years","Enteric infections","Percent",1991,0.00948504908729647,0.0151171022096886,0.00499404317558185
"Deaths","East Asia","Female","15-19 years","Enteric infections","Percent",1991,0.0114295847939742,0.0194802240280309,0.00607398423457702
"Deaths","East Asia","Both","15-19 years","Enteric infections","Percent",1991,0.010158252649293,0.0159140877700686,0.00597310078915861
"Deaths","East Asia","Male","20-24 years","Enteric infections","Percent",1991,0.00599274405923038,0.00907296169618885,0.00325780696940485
"Deaths","East Asia","Female","20-24 years","Enteric infections","Percent",1991,0.00629665707458353,0.0111908233544382,0.0032829400549122
"Deaths","East Asia","Both","20-24 years","Enteric infections","Percent",1991,0.00609984712039524,0.00927321866674879,0.0037172033234731
"Deaths","Western Sub-Saharan Africa","Male","<5 years","Enteric infections","Percent",1990,0.26436870415835,0.339777618068697,0.166018061682616
"Deaths","Western Sub-Saharan Africa","Female","<5 years","Enteric infections","Percent",1990,0.226750683997988,0.319774824212347,0.157274327127041
"Deaths","Western Sub-Saharan Africa","Both","<5 years","Enteric infections","Percent",1990,0.246868819118648,0.322825076427592,0.169409174380044
"Deaths","Western Sub-Saharan Africa","Male","5-9 years","Enteric infections","Percent",1990,0.172378682213721,0.254547450713407,0.110385756115477
"Deaths","Western Sub-Saharan Africa","Female","5-9 years","Enteric infections","Percent",1990,0.190814832798856,0.309615620604015,0.101190401411859
"Deaths","Western Sub-Saharan Africa","Both","5-9 years","Enteric infections","Percent",1990,0.180768566088216,0.259944148952206,0.114923285992949
"Deaths","Western Sub-Saharan Africa","Male","10-14 years","Enteric infections","Percent",1990,0.167249236087275,0.246811071712049,0.109541178869631
"Deaths","Western Sub-Saharan Africa","Female","10-14 years","Enteric infections","Percent",1990,0.205318008946958,0.323292942462318,0.118288633661589
"Deaths","Western Sub-Saharan Africa","Both","10-14 years","Enteric infections","Percent",1990,0.184399476254589,0.264514217944873,0.121937227292
"Deaths","Western Sub-Saharan Africa","Male","15-19 years","Enteric infections","Percent",1990,0.123869096340689,0.206732936082256,0.0770735951614077
"Deaths","Western Sub-Saharan Africa","Female","15-19 years","Enteric infections","Percent",1990,0.134378041016363,0.232580413106561,0.065536928615869
"Deaths","Western Sub-Saharan Africa","Both","15-19 years","Enteric infections","Percent",1990,0.128961217674616,0.18973019853132,0.0793561846959592
"Deaths","Western Sub-Saharan Africa","Male","20-24 years","Enteric infections","Percent",1990,0.0979852607397483,0.171949944037704,0.0594190457156499
"Deaths","Western Sub-Saharan Africa","Female","20-24 years","Enteric infections","Percent",1990,0.105632919246122,0.197322762487972,0.0457026410445
"Deaths","Western Sub-Saharan Africa","Both","20-24 years","Enteric infections","Percent",1990,0.102018963576675,0.155910228332481,0.0610325734572494
"Deaths","Central Sub-Saharan Africa","Male","<5 years","Enteric infections","Percent",1990,0.17875115455405,0.251011986312404,0.0999166375779057
"Deaths","Central Sub-Saharan Africa","Female","<5 years","Enteric infections","Percent",1990,0.127168500840906,0.211275173927676,0.0757936892074285
"Deaths","Central Sub-Saharan Africa","Both","<5 years","Enteric infections","Percent",1990,0.154535700857209,0.222290462387394,0.0929239600218741
"Deaths","Central Sub-Saharan Africa","Male","5-9 years","Enteric infections","Percent",1990,0.103417469361433,0.165512045933086,0.0629150526602469
"Deaths","Central Sub-Saharan Africa","Female","5-9 years","Enteric infections","Percent",1990,0.110238703558757,0.193121410983714,0.0558543082843761
"Deaths","Central Sub-Saharan Africa","Both","5-9 years","Enteric infections","Percent",1990,0.106529684296214,0.159704185993032,0.0688663342773268
"Deaths","Central Sub-Saharan Africa","Male","10-14 years","Enteric infections","Percent",1990,0.0852564999712558,0.141108010701949,0.0524595428666284
"Deaths","Central Sub-Saharan Africa","Female","10-14 years","Enteric infections","Percent",1990,0.0954675918642268,0.168895279432848,0.0486394204006926
"Deaths","Central Sub-Saharan Africa","Both","10-14 years","Enteric infections","Percent",1990,0.089481480986702,0.136270893383847,0.0588930796212811
"Deaths","Central Sub-Saharan Africa","Male","15-19 years","Enteric infections","Percent",1990,0.074053790509139,0.126065238917232,0.0440558086022492
"Deaths","Central Sub-Saharan Africa","Female","15-19 years","Enteric infections","Percent",1990,0.0641935731428827,0.119545488314124,0.0285854640198115
"Deaths","Central Sub-Saharan Africa","Both","15-19 years","Enteric infections","Percent",1990,0.0699131154096271,0.107120395337605,0.0443028395489618
"Deaths","Central Sub-Saharan Africa","Male","20-24 years","Enteric infections","Percent",1990,0.0576412868560026,0.098556522690449,0.0327082456744115
"Deaths","Central Sub-Saharan Africa","Female","20-24 years","Enteric infections","Percent",1990,0.0492236780214221,0.100748556761931,0.0203563734402191
"Deaths","Central Sub-Saharan Africa","Both","20-24 years","Enteric infections","Percent",1990,0.053712177803976,0.0882389442771269,0.0328948164197809
"Deaths","Southeast Asia","Male","<5 years","Enteric infections","Percent",1990,0.169136589715133,0.22409965455397,0.105234789662918
"Deaths","Southeast Asia","Female","<5 years","Enteric infections","Percent",1990,0.127513559817058,0.201364955792052,0.0874527175134136
"Deaths","Southeast Asia","Both","<5 years","Enteric infections","Percent",1990,0.150700995746965,0.202608322036652,0.10235887393209
"Deaths","Southeast Asia","Male","5-9 years","Enteric infections","Percent",1990,0.134275628787144,0.203851558747047,0.0768292777076279
"Deaths","Southeast Asia","Female","5-9 years","Enteric infections","Percent",1990,0.13124031968397,0.22127957530018,0.0719001919903785
"Deaths","Southeast Asia","Both","5-9 years","Enteric infections","Percent",1990,0.132938948039905,0.202425908323231,0.0834346380521835
"Deaths","Southeast Asia","Male","10-14 years","Enteric infections","Percent",1990,0.171316788854615,0.262722857832832,0.102219494266546
"Deaths","Southeast Asia","Female","10-14 years","Enteric infections","Percent",1990,0.18214887403883,0.288454818217629,0.105318545219886
"Deaths","Southeast Asia","Both","10-14 years","Enteric infections","Percent",1990,0.175928795838146,0.273286653021018,0.108928883399808
"Deaths","Southeast Asia","Male","15-19 years","Enteric infections","Percent",1990,0.0854637892706421,0.147648627970722,0.0448842444387832
"Deaths","Southeast Asia","Female","15-19 years","Enteric infections","Percent",1990,0.101518446236515,0.171721246582049,0.0525381066140831
"Deaths","Southeast Asia","Both","15-19 years","Enteric infections","Percent",1990,0.0917481170396972,0.154264524933092,0.0511174425316441
"Deaths","Southeast Asia","Male","20-24 years","Enteric infections","Percent",1990,0.0380270795549592,0.0658808555765512,0.0206745615479364
"Deaths","Southeast Asia","Female","20-24 years","Enteric infections","Percent",1990,0.0579037752727196,0.101749907315026,0.0296658984154392
"Deaths","Southeast Asia","Both","20-24 years","Enteric infections","Percent",1990,0.0455913708490354,0.0753724614943891,0.0263584554317887
"Deaths","South Asia","Male","<5 years","Enteric infections","Percent",1992,0.121352371140289,0.146727264948201,0.0994735838512959
"Deaths","South Asia","Female","<5 years","Enteric infections","Percent",1992,0.15418098004644,0.198123445879383,0.113493065668952
"Deaths","South Asia","Both","<5 years","Enteric infections","Percent",1992,0.137570417337809,0.162870939063452,0.10956477794491
"Deaths","South Asia","Male","5-9 years","Enteric infections","Percent",1992,0.251594102700195,0.375667565907216,0.16137782591299
"Deaths","South Asia","Female","5-9 years","Enteric infections","Percent",1992,0.277411614037103,0.411021001721037,0.163814578596596
"Deaths","South Asia","Both","5-9 years","Enteric infections","Percent",1992,0.265305350795978,0.37509264913489,0.17740651768574
"Deaths","South Asia","Male","10-14 years","Enteric infections","Percent",1992,0.287274546863565,0.42516357861732,0.176191981816083
"Deaths","South Asia","Female","10-14 years","Enteric infections","Percent",1992,0.305922783708462,0.444581637740846,0.194908975954423
"Deaths","South Asia","Both","10-14 years","Enteric infections","Percent",1992,0.296703727118318,0.419056468403723,0.197566945494471
"Deaths","South Asia","Male","15-19 years","Enteric infections","Percent",1992,0.187893842895499,0.300736765487162,0.106843286070102
"Deaths","South Asia","Female","15-19 years","Enteric infections","Percent",1992,0.159592336092796,0.255185825270946,0.0858973647239576
"Deaths","South Asia","Both","15-19 years","Enteric infections","Percent",1992,0.172567775122189,0.255469513641964,0.103900260283506
"Deaths","South Asia","Male","20-24 years","Enteric infections","Percent",1992,0.119383976113639,0.206455823313013,0.0710262183775387
"Deaths","South Asia","Female","20-24 years","Enteric infections","Percent",1992,0.100728210011296,0.181020341510346,0.049361675119904
"Deaths","South Asia","Both","20-24 years","Enteric infections","Percent",1992,0.109096886799616,0.173155864971425,0.0654767247698161
"Deaths","East Asia","Male","<5 years","Enteric infections","Percent",1992,0.0493288777245465,0.0559119328760983,0.0425886467197943
"Deaths","East Asia","Female","<5 years","Enteric infections","Percent",1992,0.0534578182415181,0.061272002395918,0.0462752389855712
"Deaths","East Asia","Both","<5 years","Enteric infections","Percent",1992,0.0512258039372097,0.0577611663150794,0.0451914113950222
"Deaths","East Asia","Male","5-9 years","Enteric infections","Percent",1992,0.0190223568838913,0.0271515303386367,0.00767227878687256
"Deaths","East Asia","Female","5-9 years","Enteric infections","Percent",1992,0.0200893124786115,0.0391823499798804,0.00945915156056894
"Deaths","East Asia","Both","5-9 years","Enteric infections","Percent",1992,0.0193975412858369,0.0287145628059486,0.0102906062982086
"Deaths","East Asia","Male","10-14 years","Enteric infections","Percent",1992,0.0167950083017962,0.0250416334196708,0.0091839413180867
"Deaths","East Asia","Female","10-14 years","Enteric infections","Percent",1992,0.0202559147799348,0.0354227787926149,0.0112457023395954
"Deaths","East Asia","Both","10-14 years","Enteric infections","Percent",1992,0.0180592646402687,0.0273377428395116,0.0114561443658289
"Deaths","East Asia","Male","15-19 years","Enteric infections","Percent",1992,0.00876970200963102,0.0140882720999194,0.00445453067680773
"Deaths","East Asia","Female","15-19 years","Enteric infections","Percent",1992,0.011112493074595,0.0188317633313966,0.00578510745823351
"Deaths","East Asia","Both","15-19 years","Enteric infections","Percent",1992,0.00958077226240844,0.0149605690163375,0.00566236603914044
"Deaths","East Asia","Male","20-24 years","Enteric infections","Percent",1992,0.00562802623576709,0.00847089437535422,0.00303031296037354
"Deaths","East Asia","Female","20-24 years","Enteric infections","Percent",1992,0.00609351690997376,0.0112805921783752,0.00314000586549562
"Deaths","East Asia","Both","20-24 years","Enteric infections","Percent",1992,0.00579510086069393,0.00878544702743947,0.00350421147982583
"Deaths","Southeast Asia","Male","<5 years","Enteric infections","Percent",1991,0.165736686059738,0.220675090514673,0.101753023261118
"Deaths","Southeast Asia","Female","<5 years","Enteric infections","Percent",1991,0.124350932549967,0.194334880798028,0.0872885432661187
"Deaths","Southeast Asia","Both","<5 years","Enteric infections","Percent",1991,0.147413469633003,0.19871892888154,0.0997962481730654
"Deaths","Southeast Asia","Male","5-9 years","Enteric infections","Percent",1991,0.133091627800291,0.201047500253302,0.0770769321621824
"Deaths","Southeast Asia","Female","5-9 years","Enteric infections","Percent",1991,0.131218906137046,0.220535889608164,0.0727223992804077
"Deaths","Southeast Asia","Both","5-9 years","Enteric infections","Percent",1991,0.132272061686737,0.201263303713757,0.0835306274996617
"Deaths","Southeast Asia","Male","10-14 years","Enteric infections","Percent",1991,0.166790134538082,0.258903752745199,0.0988457037902839
"Deaths","Southeast Asia","Female","10-14 years","Enteric infections","Percent",1991,0.178948785617819,0.286253835468178,0.10238347506713
"Deaths","Southeast Asia","Both","10-14 years","Enteric infections","Percent",1991,0.171952967853965,0.265650714886731,0.10625705596046
"Deaths","Southeast Asia","Male","15-19 years","Enteric infections","Percent",1991,0.0826216347971079,0.142430306490387,0.0435733234543039
"Deaths","Southeast Asia","Female","15-19 years","Enteric infections","Percent",1991,0.100859516844253,0.173606991128701,0.0519808570929659
